Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS arseen en arseenverbindingen			3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie verwacht
ZZS arseen en arseenverbindingen	arseen	7440-38-2	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	diarseenpentaoxide	1303-28-2	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	arseentrioxide	1327-53-3	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	arseenzuur	7778-39-4	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	zouten van arseenzuur		3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	in water oplosbare zouten van arseenzuur		3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	in water onoplosbare zouten van arseenzuur		3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	calciumarsenaat	7778-44-1	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	loodarsenaat	7784-40-9	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	nikkeldiarsenide	12068-61-0	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	galliumarsenide	1303-00-0	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	nikkel(II)arsenaat	13477-70-8	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	triethylarsenaat	15606-95-8	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	nikkelarsenide	27016-75-7	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	trilooddiarsenaat	3687-31-8	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	trinikkelbis(arseniet)	74646-29-0	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie mogelijk
ZZS arseen en arseenverbindingen	arseenverbindingen		3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 d/e het maken van glas, met inbegrip van het maken van glasvezels	Water	Emissie verwacht
